author,publishedAt,likeCount,text
@WidWod1112,2025-04-01T12:45:04Z,261,ada yang sampe buka jasa generate foto ghibli bang😂 perfotonya dihargain 10K dan no revisi
@faramika_rizki,2025-07-14T18:27:11Z,0,"Yuukk,, mari kita kembali aja ke jaman Wartel.. Jaman ojek pengkolan, jaman kirim salam2 ke gebetan lewat radio..🎉"
@kana_7079,2025-04-27T11:08:27Z,0,Buat nge prompt AI tetep butuh literasi yang bagus. Orang sampe ngeduitin buat bikin kelas prompt bahkan joki prompt udah jadi bukti banget soal literasi orang indo yang baca judul doang udah ketar ketir
@Osucarus,2025-04-24T06:09:40Z,0,"AI itu hanyalah alat, penggunanya yang menentukan"
@e-n456,2025-04-20T12:03:09Z,0,Eno bening ghibli
@ziaa1634,2025-04-17T02:42:36Z,0,"Menurutku ini pencurian desain secara besar2an. Tapi mau nuntut pihak ai jg ng gampang, membawa ke jalur hukum bisa makan waktu bertahun2, menguras uang dan pikiran. Jd yg lebih utama sih mengedukasi masyarakat, biar pikiran mereka lebih terbuka. Dan alhamdulillah sdh byk yg menyuarakan ini, dan mulai meninggalkan kefomoan ai ghibli. Walaupun katanya, cuma buat bersenang2, tapi bersenang2nya diatas rasa sakit hati kakek miyazaki, itu sesuatu banget sih, menurutku"
@christina-lv3nw,2025-04-17T00:03:43Z,0,"sama enegnya
buat gw lhu generated gambar pake ai udah salah, karna notabene ai ngambil karya karya orang lain buat dijadiin source mereka. dan hal t0l0l ini malah ditujukan secara kusus ke 1 seniman yang jelas jelas hayao miyazaki gk demen ama ai. intinya tren t0l0l satu ini ya cuman buat bikin seniman yg udah sepuh kesel, kan t0l0l"
@pingpong-s1f,2025-04-14T07:09:08Z,0,"tapi ttep aja,gak bisa menggantikan yang original,,,, seperti lukisan yang di beli dengan harga milyaran mungkin...
lalu ada orang memfoto lukisan tersebut,lalu foto itu di cetak,di beri bingkai yang sama..apakah lukisan tersebut ada nilainya...jelas ya gak ada...😅...
dan hal mudah simpel seperti kasus gibli mania ini,yang tinggal tab tab jadi ,ya gambar biasa aja jatohnya nilainya...lama2 orang akan bosan dan hilang dengan sendirinya...
dan sedih juga sih ada jasa2 generate gibli2 itu....kayak apa yak...
gak mau nyoba,takut apa bagaimana???
kalau edit vidio masih masuk akal lah..karena memang ribet, butuh skill dan ketelatenan....ini ai cok... tinggal tab tab ,lu tinggal merem.. jadi 😂"
@alviantdarccloud695,2025-04-14T00:21:56Z,0,"kebodohan sdm kita pun sampai di mana dengan kesadaran penuh menjual jasa generate foto jadi style Ghibli dan buka harga dari jasa itu 🤣, dan ngerasa bener kalo dia ngasih harga karna dia berlindung dari kata ""gue modal dengan beli versi Pro nya"" sungguh SDM terendah se rendah-rendahnya..."
@oksidianart,2025-04-11T08:48:57Z,0,"Dan bangsatnya ada yg open jasa edit foto ghibli, padahal modal AI, keliatan penyepong fufufafanya"
@wallasdepthwallpaper,2025-04-11T04:43:27Z,0,"Semuga masuk jalur hukum oleh studio Ghibli, saya juga ga terima, menurut pribadi saya Ghibli salah satu anime yang punya ciri khas tersendiri"
@Ousajene,2025-04-10T13:22:11Z,0,update GPT 4.0 sekarang sudah tidak bisa generate gambar ghibli
@Radhb,2025-04-10T12:04:41Z,0,"minimal kalau komen tu ngaca, toh 99% org tu kelas consumer/end user yg cuma mau tau product!,
process selalu terkikis teknologi itu hal biasa,
liat rak lu NO!
itu allmight mass produce plastic apa handmade?
itu buku lo printing apa handwriting?
itu mic lu cast manual apa machinery casting?
itu kaos lo dirajut pake tangan apa mass produced?

itu namanya teknologi,konsumen mah bodo amat!

NGACA!"
@ariqmalyaputera63,2025-04-09T22:33:57Z,0,"gapapa, biar indonesia makin terpuruk dan keterbelakangan. serba instan. udah tradisinya begitu. moga cepet cepet kiamat aja dah bumi ini, di mulai dari indonesia dulu."
@muflihrz4074,2025-04-09T10:50:35Z,0,yang salah manusia yang menggunakan ai dan mematikan rejeki orang lain yang berusaha lebih keras daripada ngetik prompt doang😂😂😂
@prasetyobudiutomo2117,2025-04-09T10:21:18Z,0,Bang eno lu sama banget opinininya sama istri gw tentang suka atau ngga nya dengan ghibli 😂
@Pakbangunpak,2025-04-09T09:29:28Z,0,"Di video2 tentang tren ini adalah ghibli bangkrut krn filter ai ini, aku kok malah bingung kenapa, ternyata memang bukan tanggapan tentang filter ini.

Kalau orang2 pakai filter ini utk fotonya emang menyaingi produk ghibli? Orang2 pakai filter terus film ghibli jadi g laku? 

kalaupun ai nyolong style ghibli dan g ngasih royalti menurutku juga g berdampak, walaupun aku setuju seharusnya ngasih royalti, krn ngambil source, style dan nama ghibli di filternya.

Aku malah mikir dgn adanya filter ghibli dan jadi tren, malah jadi promosi gratis film2 ghibli, pasti adalah orang2 yg jadi penasaran dan malah nonton filmnya.

Dan menurutku seharusnya ghibli dan ai kerja sama, animator dpt untung, ai dgn filternya juga laku, akupun setuju ai itu g bisa menggantikan karya seni buatan manusia, kalau digunakan buat bidang lain sih oke, kyk buat meringkas bacaan, hitung cepat, menarik kesimpulan dll, tapi untuk art, tetep g bisa dikomersilkan, krn ai tetep intinya ngambil resource dan style seniman yg ada, kalau dlm database ai g ada data2 para seniman ya g bakal jadi gambar generate mereka😂"
@ReffiDelaarmina,2025-04-09T08:51:43Z,0,ozaaaaaaa hahahaaaaa
@pakdheneMuhammadYusufIsmail,2025-04-09T02:03:25Z,0,Urusan vokal udah lebih lama kena tipuan teknologi.
@hendrihartanto6518,2025-04-08T12:55:16Z,0,Ya sorry deh kalo gw salah satu humanity yang paling kudet sama ai. GK pernah make ai. GK ngaruh Ama pekerjaan gw
